
SalesID,SalesDate,ProductID,Quantity
SA00,2016-08-15,69770644,189
SA01,2015-09-11,55790099,17
SA02,2017-04-12,87775244,158
SA03,2018-07-10,85840727,18
SA12,2016-12-25,38365886,172
SA16,2018-05-27,53741517,88
SA19,2018-10-31,7004833,153
SA22,2016-02-23,14999000,175
SA27,2016-03-31,83280225,118
SA29,2018-07-23,98230615,74
SA33,2016-12-16,35524189,2
SA38,2015-11-09,37227230,3
SA48,2018-06-10,77143339,77
SA50,2019-03-22,32366690,122
SA51,2016-09-03,94815707,196
SA54,2015-11-05,95704102,49
SA63,2015-12-01,1570928,72
SA64,2019-03-02,20276007,83
SA65,2017-02-01,55302631,15
SA70,2015-12-01,64180534,109
SA72,2018-06-15,87723540,166
SA73,2015-01-31,12358519,70
SA78,2019-01-10,81760682,17
SA79,2019-10-03,54133932,167
SA82,2017-06-18,68820853,151
SA85,2017-10-24,2634069,73
SA86,2015-05-17,76203459,83
SA87,2016-07-21,74988040,159
SA88,2016-03-16,23338328,200
SA89,2016-10-01,73043554,103
SA90,2015-11-25,60450341,85
SA91,2015-10-22,59804269,153
SA92,2017-03-27,64381561,187
SA96,2016-09-06,45090354,89
SA98,2019-06-04,56485252,185
